Altitude,Latitude,Longitude,ICSEV,SLD,ICPRB
11000,39.5541,-75.964,2,-0.09,0.32
11000,39.5376,-75.8129,2,-0.09,0.27
11000,39.6706,-75.9426,2,-0.09,0.27
11000,39.6541,-75.7913,2,-0.09,0.26
11000,39.6374,-75.64,2,-0.09,0.24
11000,39.6206,-75.4888,1,-0.09,0.23
11000,39.6036,-75.3376,1,-0.09,0.19
11000,39.5866,-75.1865,1,-0.09,0.17
11000,39.5694,-75.0354,1,-0.09,0.16
11000,39.552,-74.8844,1,-0.09,0.16
11000,39.5346,-74.7334,1,-0.09,0.25
11000,39.7871,-75.9212,2,-0.09,0.25
11000,39.7705,-75.7697,2,-0.09,0.24
11000,39.7539,-75.6183,2,-0.09,0.23
11000,39.737,-75.4669,2,-0.09,0.16
11000,39.7201,-75.3155,1,-0.09,0.13
11000,39.703,-75.1642,1,-0.09,0.1
11000,39.6858,-75.013,1,-0.09,0.07
11000,39.6684,-74.8618,1,-0.09,0.06
11000,39.6509,-74.7106,1,-0.09,0.14
11000,39.6333,-74.5595,1,-0.09,0.21
11000,39.6156,-74.4085,1,-0.09,0.22
11000,39.5977,-74.2575,1,-0.09,0.53
11000,39.5797,-74.1065,2,0.19,0.7
11000,39.5616,-73.9556,2,-0.09,0.76
11000,39.5433,-73.8048,2,-0.09,0.73
11000,39.9035,-75.8997,2,-0.09,0.13
11000,39.8869,-75.7481,2,-0.09,0.13
11000,39.8702,-75.5964,2,-0.09,0.12
11000,39.8534,-75.4449,2,-0.09,0.12
11000,39.8364,-75.2934,1,-0.09,0.11
11000,39.8193,-75.1419,1,-0.09,0.07
11000,39.8021,-74.9905,1,-0.09,0.06
11000,39.7848,-74.8391,1,-0.09,0.04
11000,39.7673,-74.6878,1,-0.09,0.04
11000,39.7496,-74.5365,1,-0.09,0.03
11000,39.7319,-74.3853,4,-0.09,0.1
11000,39.714,-74.2342,1,-0.09,0.43
11000,39.696,-74.0831,1,-0.09,0.57
11000,39.6779,-73.932,2,-0.09,0.73
11000,39.6596,-73.781,2,-0.09,0.75
11000,39.6412,-73.63,2,-0.09,0.73
11000,39.6226,-73.4791,2,-0.09,0.7
11000,39.604,-73.3283,1,0.11,0.68
11000,39.5852,-73.1775,1,0.16,0.68
11000,39.5662,-73.0268,1,0.08,0.66
11000,39.5472,-72.8761,1,0.11,0.65
11000,40.0363,-76.0301,2,-0.09,0.12
11000,40.0198,-75.8782,2,-0.09,0.11
11000,40.0033,-75.7264,2,-0.09,0.11
11000,39.9865,-75.5746,2,-0.09,0.1
11000,39.9697,-75.4228,2,-0.09,0.08
11000,39.9527,-75.2712,1,-0.09,0.08
11000,39.9356,-75.1195,1,-0.09,0.05
11000,39.9184,-74.9679,1,-0.09,0.05
11000,39.901,-74.8164,1,-0.09,0.04
11000,39.8835,-74.6649,1,-0.09,0.03
11000,39.8659,-74.5135,1,-0.09,0.03
11000,39.8481,-74.3621,1,-0.09,0.04
11000,39.8302,-74.2108,4,-0.09,0.1
11000,39.8122,-74.0595,1,-0.09,0.47
11000,39.7941,-73.9083,1,-0.09,0.64
11000,39.7758,-73.7571,2,-0.09,0.69
11000,39.7574,-73.606,2,-0.09,0.69
11000,39.7388,-73.455,2,-0.09,0.69
11000,39.7201,-73.304,2,-0.09,0.7
11000,39.7013,-73.153,2,0.14,0.73
11000,39.6824,-73.0021,2,0.03,0.72
11000,39.6633,-72.8513,2,0.16,0.71
11000,39.6441,-72.7005,1,0.08,0.69
11000,39.6248,-72.5497,1,0.17,0.68
11000,39.6053,-72.3991,1,0.15,0.67
11000,39.5857,-72.2484,1,0.21,0.67
11000,39.566,-72.0979,1,0.01,0.62
11000,40.1525,-76.0086,2,-0.09,0.12
11000,40.1361,-75.8566,2,-0.09,0.11
11000,40.1195,-75.7046,2,-0.09,0.11
11000,40.1028,-75.5527,2,-0.09,0.1
11000,40.0859,-75.4008,2,-0.09,0.08
11000,40.0689,-75.2489,2,-0.09,0.06
11000,40.0518,-75.0971,1,-0.09,0.05
11000,40.0346,-74.9454,1,-0.09,0.04
11000,40.0172,-74.7937,1,-0.09,0.03
11000,39.9997,-74.642,1,-0.09,0.03
11000,39.9821,-74.4904,1,-0.09,0.03
11000,39.9643,-74.3389,1,-0.09,0.03
11000,39.9464,-74.1874,4,-0.09,0.04
11000,39.9284,-74.036,1,-0.09,0.43
11000,39.9102,-73.8846,1,-0.09,0.52
11000,39.8919,-73.7332,1,-0.09,0.65
11000,39.8735,-73.582,2,-0.09,0.65
11000,39.8549,-73.4307,2,-0.09,0.64
11000,39.8362,-73.2796,2,-0.09,0.66
11000,39.8174,-73.1284,2,-0.09,0.73
11000,39.7985,-72.9774,2,-0.09,0.74
11000,39.7794,-72.8264,2,0.18,0.74
11000,39.7602,-72.6754,1,0.19,0.73
11000,39.7408,-72.5245,2,0.13,0.72
11000,39.7213,-72.3737,2,0.2,0.73
11000,39.7017,-72.2229,1,0.2,0.7
11000,39.682,-72.0722,2,0.01,0.69
11000,40.2687,-75.9872,2,-0.09,0.11
11000,40.2523,-75.835,2,-0.09,0.12
11000,40.2357,-75.6828,2,-0.09,0.11
11000,40.2189,-75.5307,2,-0.09,0.11
11000,40.2021,-75.3786,2,-0.09,0.08
11000,40.1851,-75.2266,2,-0.09,0.07
11000,40.168,-75.0746,2,-0.09,0.05
11000,40.1507,-74.9227,2,-0.09,0.04
11000,40.1333,-74.7709,1,-0.09,0.03
11000,40.1158,-74.6191,1,-0.09,0.03
11000,40.0982,-74.4673,1,-0.09,0.03
11000,40.0804,-74.3156,1,-0.09,0.03
11000,40.0625,-74.1639,1,-0.09,0.04
11000,40.0444,-74.0123,1,-0.09,0.29
11000,40.0263,-73.8608,1,-0.09,0.32
11000,40.008,-73.7093,1,-0.09,0.55
11000,39.9895,-73.5578,1,-0.09,0.58
11000,39.971,-73.4064,2,-0.09,0.57
11000,39.9523,-73.2551,2,-0.09,0.6
11000,39.9334,-73.1038,2,-0.09,0.71
11000,39.9145,-72.9526,2,-0.09,0.76
11000,39.8954,-72.8014,2,-0.09,0.76
11000,39.8761,-72.6503,2,-0.09,0.74
11000,39.8568,-72.4993,2,-0.09,0.74
11000,39.8373,-72.3483,2,0.1,0.74
11000,39.8177,-72.1973,2,0.16,0.73
11000,39.7979,-72.0464,2,0.79,0.79
11000,40.3849,-75.9657,2,-0.09,0.1
11000,40.3684,-75.8133,2,-0.09,0.11
11000,40.3518,-75.661,2,-0.09,0.12
11000,40.335,-75.5087,2,-0.09,0.11
11000,40.3182,-75.3564,2,-0.09,0.09
11000,40.3012,-75.2043,2,-0.09,0.07
11000,40.284,-75.0521,2,-0.09,0.06
11000,40.2668,-74.9,2,-0.09,0.05
11000,40.2494,-74.748,2,-0.09,0.04
11000,40.2319,-74.596,2,-0.09,0.03
11000,40.2142,-74.4441,1,-0.09,0.03
11000,40.1964,-74.2922,1,-0.09,0.03
11000,40.1785,-74.1404,1,-0.09,0.03
11000,40.1604,-73.9886,1,-0.09,0.04
11000,40.1423,-73.8369,1,-0.09,0.31
11000,40.1239,-73.6853,1,-0.09,0.35
11000,40.1055,-73.5337,2,-0.09,0.44
11000,40.0869,-73.3821,1,-0.09,0.55
11000,40.0682,-73.2306,2,-0.09,0.55
11000,40.0494,-73.0792,2,-0.09,0.65
11000,40.0304,-72.9278,2,-0.09,0.72
11000,40.0113,-72.7764,2,-0.09,0.77
11000,39.9921,-72.6252,2,0.21,0.77
11000,39.9727,-72.4739,2,-0.09,0.76
